"genres;  homepage; title_movie; production_countries; Release_year; Runtime; tagline"
"Action, Adventure, Fantasy, Science Fiction; http://www.avatarmovie.com/;  Avatar; United States of America,United Kingdom; 2009; 162; Enter the World of Pandora."
" Adventure, Fantasy, Action; ; Pirates of the Caribbean: At World's End; United States of America; 2007; 169; At the end of the world, the adventure begins."
" Action, Adventure, Crime; http://www.sonypictures.com/movies/spectre/ ; Spectre; United Kingdom,United States of America; 2015; 148; A Plan No One Escapes"
" Action,Crime,Drama,Thriller; http://www.thedarkknightrises.com/ ; The Dark Knight Rises; United States of America;; 2012; 165; The Legend Ends"
" Action, Adventure ,Science Fiction; http://movies.disney.com/john-carter ; John Carter; United States of America; 2012; 132; Lost in our world, found in another."
" Fantasy,Action,  Adventure; http://www.sonypictures.com/movies/spider-man3/; Spider-Man 3; United States of America; 2007; 139; The battle within."
"Animation,Family; http://disney.go.com/disneypictures/tangled/ ; Tangled; United States of America;; 2010; 100; They're taking adventure to new lengths."
"Action, Adventure,Science Fiction; http://marvel.com/movies/movie/193/avengers_age_of_ultron; Avengers: Age of Ultron; United States of America; 2015; 141; A New Age Has Come."
" Adventure, Fantasy, Family; http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html; Harry Potter and the Half-Blood Prince; United Kingdom,United States of America; 2009; 153; Dark Secrets Revealed"
"Action, Adventure, Fantasy; http://www.batmanvsupermandawnofjustice.com/; Batman v Superman: Dawn of Justice;  United States of America; 2016; 151; Justice or revenge"
"Adventure, Fantasy, Action,Science Fiction; http://www.superman.com; Superman Returns; United States of America; 2006; 154; "
"Adventure, Action,Thriller,Crime; http://www.mgm.com/view/movie/234/Quantum-of-Solace/; Quantum of Solace; United KingdomUnited States of America; 2008; 106; For love, for hate, for justice, for revenge."
"Adventure,Fantasy, Action; http://disney.go.com/disneypictures/pirates/; Pirates of the Caribbean: Dead Man's Chest;  Jamaica, United States of America, Bahamas, Dominica; 2006; 151; Jack is back!"
" Adventure, Family,Fantasy; ; The Chronicles of Narnia: The Voyage of the Dawn Treader; United States of America; 2010; 113; Return to magic. Return to hope. Return to Narnia."
"History, Romance,War; ; Pearl Harbor;  United States of America; 2001; 183; It takes a moment to change history. It takes love to change lives."
"Adventure,Science Fiction,Action; http://www.transformersmovie.com/; Transformers; United States of America; 2007; 144; Their war. Our world."
" War, History,Action, Adventure, Drama, Romance; ; Alexander; France, Germany,Italy,  Netherlands, United Kingdom, United States of America; 2004; 175; The greatest legend of all was real."
"Adventure,Fantasy,Family, Mystery; http://www.harrypotterorderofthephoenix.com/; Harry Potter and the Order of the Phoenix;  United Kingdom,United States of America; 2007; 138; Evil Must Be Confronted."
